mid,text,text_cut
4662976081039377,"“双减政策”严禁教培机构资本化，A股K12教育概念股何去何从
O网页链接 分享自@和讯网#和讯网#",双减 政策 严禁 教培 机构 资本化 教育 概念股 何去何从 网页 链接 分享 和讯网 和讯网
4662975677861856,科德教育 sz300192 “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,科德 教育 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压 点击 链接 查看 更多 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压
4662975610751663,勤上股份 sz002638 “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,勤上 股份 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压 点击 链接 查看 更多 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压
4662975607342782,勤上股份 sz002638 勤上股份：“双减政策”将对全资子公司龙文教育业务产生重大影响，点击链接查看更多->O勤上股份：“双减政策”将对全资子公司龙文教育业务产生重大影响,勤上 股份 勤上 股份 双减 政策 全资 子公司 龙文 教育 业务 影响 点击 链接 查看 更多勤 股份 双减 政策 全资 子公司 龙文 教育 业务 影响
4662975493312317,学大教育 sz000526 “双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压，点击链接查看更多->O“双减”政策落地 A股、美股教育公司集体回应影响 校外培训业务承压,学大 教育 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压 点击 链接 查看 更多 双减 政策 落地 股美股 教育 公司 集体 回应 影响 校外 培训 业务 承压
4662975157506798,双减政策落地：校外培训面临生死挑战 行业新人被父母催转行 O双减政策落地：校外培训面临生死挑战 行业新人被父母催转行,双减 政策 落地 校外 培训 面临 生死 挑战 行业 新人 父母 转行 双减 政策 落地 校外 培训 面临 生死 挑战 行业 新人 父母 转行
4662974155590631,"谁能想到马云三年前的玩笑话：“三年后教育在，新东方不在。”如今似乎真要变成现实了。
#双减政策# #教育部十答如何推进双减工作# L业余宽客的微博视频",想到 马云 三年 玩笑话 三年 教育 新东方 现实 双减 政策 教育部 十答 双减 工作 业余 宽客 微博 视频
4662972968341422,从双减政策开始fzy和我的日常就是maimai 2北京,双减 政策 日常 北京
4662972670280533,"明天大盘怎么走？我看继续调整的面大！别看美股周五反弹，但中概股全线暴跌，A50期指也不跟涨收跌。除了这个还有几个利空，双减政策落地，社保减持人保套现50亿，上海加码调控房地产房贷利率，水井坊二季度亏损4213万元。局部利空还是明显的。上周五大盘放量收阴线，个股普跌，所以7月最后一周，依然难有起色，而且个股风险很大，继续保持谨慎！

大盘调整多数板块没得玩了，下周主要看两块，一块是国潮概念，主要是国产品牌服装，国产化妆品，国产奶粉这几块。一块是军工，主要看航空和船舶。老热点，主要是趋势还保持向上的有色钢铁，半导体，锂电产业链等，12-17岁青少年要接种疫苗了，或对疫苗产业链也有点刺激，其他的都需谨慎！ 收起d",明天 大盘 调整 面大别 看美股 周五 反弹 概股 全线 暴跌 期指 收跌 几个 利空 双减 政策 落地 社保 减持 人保 套现 上海 加码 调控 房地产 房贷利率 水井坊 二季度 亏损 万元 局部 利空 上周五 大盘 阴线 个股 普跌 一周 依然 有起色 个股 风险 很大 谨慎 大盘 调整 板块 没得 下周 两块 一块 国潮 概念 国产品牌 服装 国产 化妆品 国产 奶粉 几块 一块 军工 航空 船舶 热点 趋势 向上 有色 钢铁 半导体 锂电 产业链 青少年 接种 疫苗 疫苗 产业链 刺激 需谨慎
4662971517897667,#双减政策#一堆教培行业的急了，想想吧没有教培之前，能请私教的不还是在请私教。学校教育能满足绝大部分普通人需求。教培的出现导致在校教育资源的流失，在校教育质量的下降，这才是本质。 2长沙·宜居・莱茵城,双减 政策 一堆 教培 行业 想想 教培 私教 私教 学校 教育 绝大部分 普通人 需求 教培 导致 在校 教育资源 流失 在校 教育 质量 下降 这才 本质 长沙 宜居 莱茵
4662970048839866,【 中信证券 点评“双减”政策：K9学科类培训进入漫长调整期】中信证券7月25日发布研报点评“双减”政策表示，未来K9学科类培训机构或将进入长时间的强监管时代，无论是经营发展还是资本化道路均被限制，同时学前教育培训和高中学科类... 分享自@雪球 O【点评“双减”政策：K9学科类培训进入漫长调整期】中信证券7月25日发布研报点评“双减”政策表示，未来K9学科类培训机构或将进入长时间的强监管时代，无论是经营发展还是资本化道路均被限制，同时学前教育培训和高中学科类培训也出现一定的监管风险，因此建议培训机构向政策更加鼓励的素质教育、职业教育、教育科技等方向转型。关于严禁学科类培训机构资本化，中信证券认为，已上市的机构或面临退市或者剥离学科类业务的风险,中信证券 点评 双减 政策 学科 培训 漫长 调整期 中信证券 发布 研报 点评 双减 政策 未来 学科 培训 机构 长时间 监管 时代 无论是 经营 发展 资本化 道路 学前教育 培训 高中 学科 分享 雪球 点评 双减 政策 学科 培训 漫长 调整期 中信证券 发布 研报 点评 双减 政策 未来 学科 培训 机构 长时间 监管 时代 无论是 经营 发展 资本化 道路 学前教育 培训 高中 学科 培训 监管 风险 建议 培训 机构 政策 鼓励 素质教育 职业 教育 教育 科技 方向 转型 严禁 学科 培训 机构 资本化 中信证券 上市 机构 面临 退市 剥离 学科 业务 风险
4662968232975229,"南京疫情
“烟花”台风
“双减”政策

🉐 每一个要我好过的
最讨厌改变计划 出行计划改来改去
一波三折 好事多磨吧",南京 疫情 烟花 台风 双减 政策 讨厌 改变 计划 出行 计划 改来改去 一波三折 好事多磨
4662967734634097,【中办国办发文明确：过重作业负担 校外培训负担 一年内有效减轻】义务教育“双减” 政策落地！近日，中办、国办印发《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》。意见要求，学生过重作业负担和校外培训负担、家庭教育支出和家长相应精力负担一年内有效减轻、三年内成效显著。#双减意见如何规范学生作业和校外培训# O义务教育“双减” 政策落地！中办国办 发文明确：过重作业负担 校外培训负担 一年内有效减轻 收起d,中办国办 发文 过重 作业负担 校外 培训 负担 一年 减轻 义务教育 双减 政策 落地 近日 中办国办 印发 进一步 减轻 义务教育 阶段 学生 作业负担 校外 培训 负担 意见 意见 学生 过重 作业负担 校外 培训 负担 家庭教育 支出 家长 精力 负担 一年 减轻 三年 成效显著 双减 意见 规范 学生 作业 校外 培训 义务教育 双减 政策 落地 中办国办 发文 过重 作业负担 校外 培训 负担 一年 减轻
4662966706767446,#义务教育“双减”政策出台：学科类培训机构一律不得上市融资 严禁资本化运作##O网页链接 (来自@同花顺),义务教育 双减 政策 出台 学科 培训 机构 一律 上市 融资 严禁 资本化 运作 网页 链接 同花顺
4662966157578580,#双减意见如何规范学生作业和校外培训#学习，一天赋二家教三老师。天赋不看出身，决定效率和创造性；家教看父母观念及言传身教，激发兴趣塑造性格，给予孩子成长空间和心智建设；老师看行业素养，教学大纲确保基础的知识公平，学校赋予组织性和纪律性。教育，不仅只是教授知识，更要启发智慧。真关心孩子的教育，家长要花心思要自律要上进做表率，以往花钱给孩子报班就是重视的观点实不可取。而教培本身并无存在的绝对必要，能绑架全社会也是教育体系不完善，政策导向资本驱使导致全社会不得不承受焦虑的结果，凉了就凉了吧。 收起d,双减 意见 规范 学生 作业 校外 培训 学习 天赋 家教 老师 天赋 不看 出身 效率 创造性 家教 父母 观念 言传身教 激发 兴趣 塑造 性格 给予 孩子 成长 空间 心智 老师 行业 素养 教学大纲 确保 基础 知识 公平 学校 赋予 组织性 纪律性 教育 教授 知识 更要 启发 智慧 关心 孩子 教育 家长 花心思 自律 表率 以往 花钱 孩子 报班 重视 观点 实不 可取 教培 绑架 社会 教育 体系 完善 政策 导向 资本 驱使 导致 社会 承受 焦虑
